Jop Titles,Company Name,Location,Jop Type,Jop Skills
Senior Full Stack Engineer (Remote) / Python and C++,Confidential -,"Cairo, Egypt ",Full Time,Full TimeExperienced  4+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Python  C++  Full Stack  Software Development  Large Scale System
Senior Python Developer,FlairsTech -,"Cairo, Egypt ",Full Time,Full TimeExperienced  3 - 7 Yrs of Exp  IT/Software Development  senior  Python Developer  Software Development  Computer Science  Python  Information Technology (IT)
Senior Python Developer,TensorGraph -,"Maadi, Cairo, Egypt ",Full Time,Full TimeExperienced  4 - 6 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Python  Software Development  MongoDB
Senior Python / Django Developer -Part Time,RDI -,"Dokki, Giza, Egypt ",Part Time,Part TimeExperienced  3+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Django  Python  MySQL  GIT  Docker  javaScript  Angular  RESTful APIs
Senior Python Developer,WORLD OF BUSINESS  -,"Sidon, Lebanon ",Full Time,Full TimeExperienced  3 - 4 Yrs of Exp  IT/Software Development  Azure  Computer Vision  pyhton  artficialintelligence  Software Development  Data Structure  Machine Learning  Data Analysis  SQL
Senior Python Developer,Dolf -,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Computer Science  CSS  HTML  Information Technology (IT)  JavaScript  jQuery  PHP  Python  Software Development
Senior Python Developer,Puffin -,"Sheikh Zayed, Giza, Egypt ",Full Time,Full TimeExperienced  IT/Software Development  Python  Node.js  Software Development  Computer Science  Software Engineering  developer  Information Technology (IT)  Web  web crawling
Senior Software Engineer (Python),Tam Development LLC -,"Riyadh, Saudi Arabia ",Full Time,Full TimeWork From HomeExperienced  6 - 12 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  engineer  Information Technology (IT)  Software Development  Software Engineering  Software engineer  Software  Python
Software Engineer (Python),Tam Development LLC -,"Riyadh, Saudi Arabia ",Work From Home,Full TimeWork From HomeExperienced  2 - 10 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Computer Science  engineer  Information Technology (IT)  Software Development  Software Engineering  Software engineer  Software  Python
Senior Backend Engineer / Python - Flying Pharmacist,Yalent -,"Cairo, Egypt ",Full Time,Full TimeWork From HomeNot specified  IT/Software Development  Analyst/Research  Engineering - Telecom/Technology  Information Technology (IT)  Computer Science  Software Engineering  Software Development  Python  AWS  SQL
Backend Engineering Manager (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Work From Home,Full TimeManager  9 - 15 Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Engineering - Other  Python  Django  Management  Development  Engineering  Software Development
Senior Python Django Developer,Itechs -,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced  3 - 5 Yrs of Exp  IT/Software Development  Development  CI/CD  APIs  Information Technology (IT)  Software  Python  Software Development  Programming  DevOps
Python Developer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Work From Home,Full TimeExperienced  2 - 4 Yrs of Exp  IT/Software Development  Python  Django  Docker  Information Technology (IT)  AWS  API  Angular  Software Development  NoSQL
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com -,"Cairo, Egypt ",Full Time,Full TimeExperienced  5+ Yrs of Exp  IT/Software Development  Engineering - Telecom/Technology  Agile  Computer Science  APIs  CSS  Design  Development  Front end  HTML
Python Developer,Advanced Solutions Co. -,"Heliopolis, Cairo, Egypt ",Full Time,Full TimeExperienced  5+ Yrs of Exp  Installation/Maintenance/Repair  IT/Software Development  Engineering - Telecom/Technology  Computer Science  Python  Odoo  Git  Software Development  JavaScript  Software
